Id,Name,Published,Isfeatured,Shortdescription,Description,Datesalepricestarts,Datesalepriceends,TaxClass,Instock,Stock,Lowstockamount,Allowcustomerreviews,SalePrice,Regularprice,CostPrice,Margin,Categories,product_image
200383,Suvai Idli & Dosa Batter Mix 1Kg,1,0,,,,,20.01,1,5,2,1,1.5,3.49,2.8,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200384,MTR Uttappam Mix 500g,1,0,,,,,20.01,1,6,2,1,1.5,2.75,1.5,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200385,MTR Masala Idli Mix 500g,1,0,,,,,20.01,1,3,2,1,1.5,2.75,1.5,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200386,MTR Idli / Dosa / Chutney Powder 200g,1,0,,,,,20.01,1,5,2,1,1.5,2.75,1.5,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200387,Thiruvarul Idli & Dosa Batter Mix 1kg,0,0,,,,,20.01,0,0,2,1,1.5,2.75,1.5,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200388,Thiruvarul Idli & Dosa Batter Mix 1kg x 2,0,0,,,,,20.01,0,0,2,1,1.5,5,3,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200389,Maggi Masala Noodles 420G,1,0,,,,,20.01,0,0,2,1,1.5,2.19,1.25,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200390,Priya Quick Upma 80G,1,0,,,,,20.01,1,4,2,1,1.5,1.49,0.7,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200391,Priya Quick Mellet Upma 65G,1,0,,,,,20.01,1,2,2,1,1.5,1.49,0.7,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200392,Priya Quick Mellet Poha 80G,1,0,,,,,20.01,1,3,2,1,1.5,1.49,0.7,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200393,Hal Dosa Mix 200Gm,1,0,,,,,20.01,1,3,2,1,1.5,1.29,0.9,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200394,Hal Idli Mix 200Gm,1,0,,,,,20.01,1,3,2,1,1.5,1.29,0.9,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
